Hour,Speed_at_2m,Speed_at_10m,Speed_at_50m,Speed_at_100m
8023,2.369202983,3.566660643,5.369344978,6.403760752
8024,2.343687367,3.546438217,5.366425661,6.414468766
8025,2.761213419,3.752602816,5.099941857,5.820300304
8026,4.272942684,5.186419964,6.295182039,6.842986494
8027,4.423190237,5.265260696,6.267641389,6.756154565
8028,4.193283663,4.93090868,5.798286585,6.217382073
8029,3.915951504,4.567144871,5.326626811,5.6914731
8030,3.504693673,4.060379982,4.704173071,5.011995572
8031,3.284872925,3.785866976,4.363270387,4.638333249
8032,3.419877774,3.937999487,4.534618189,4.818658574
8033,3.85999834,4.456524849,5.14523893,5.473734553
8034,4.716662031,5.535075665,6.49549669,6.958883479
8035,5.263341358,6.323248863,7.596595673,8.221191719
8036,5.078950445,6.320815086,7.86633061,8.643429317
8037,4.502299965,5.834087372,7.559819587,8.452382188
8038,3.535663096,4.894724369,6.77619049,7.795102713
8039,3.705110666,5.155998707,7.175041467,8.272399581
8040,3.902307534,5.392088413,7.450621767,8.563963348
8041,3.738291772,5.183544159,7.187542249,8.27401877
8042,3.489311432,4.873498917,6.806784706,7.860201403
8043,3.304244725,4.651192665,6.547212754,7.585924756
8044,3.204253064,4.543005467,6.441095087,7.486129952
8045,3.147031208,4.490945339,6.40876709,7.469417991
8046,3.182403304,4.491956234,6.340387714,7.354948092
8047,2.985826489,4.30698967,6.212738779,7.274576639
8048,2.773275146,4.057075024,5.935169386,6.991808631
8049,3.005987555,3.967576027,5.236768032,5.901688212
8050,3.757723053,4.530896664,5.46315529,5.921613517
8051,3.777405657,4.459340572,5.264385175,5.654439197
8052,3.416264784,3.978832483,4.634040079,4.948486078
8053,3.060495184,3.535425663,4.084056294,4.345838772
8054,2.830723502,3.255348921,3.743670686,3.975939309
8055,2.845479668,3.260100842,3.735137389,3.960491033
8056,3.086282096,3.524779558,4.025578527,4.262621437
8057,3.710492115,4.254096508,4.877341479,5.173148424
8058,4.746408523,5.548575401,6.486312511,6.937528703
8059,5.624107139,6.783039093,8.180786425,8.868282572
8060,5.635391224,7.018001556,8.739827261,9.605981703
8061,5.033749916,6.470488071,8.317301531,9.267140478
8062,4.156081986,5.476968765,7.217660036,8.128598257
8063,3.877973628,5.275340557,7.176226726,8.193212141
8064,3.861935671,5.267833233,7.185533197,8.213453843
8065,3.795072419,5.153049946,6.996947834,7.9821807
8066,3.626948405,4.940310478,6.729256911,7.687222372
8067,3.487502673,4.782588482,6.558605035,7.514119658
8068,3.342496244,4.618406773,6.381362778,7.334821967
8069,3.000992043,4.208409786,5.901619422,6.82680379
8070,2.678846135,3.773176432,5.314549499,6.159332061
8071,2.314738876,3.375703335,4.922962639,5.791594901
8072,2.23033841,3.248888969,4.732591022,5.564883365
8073,3.331326297,4.218443394,5.341795753,5.91352888
8074,4.867078266,5.903110504,7.15967809,7.780179395
8075,5.332176552,6.390101433,7.657922786,8.278726822
8076,4.970559801,5.892136574,6.984580167,7.515420893
8077,4.588025657,5.389994621,6.332144628,6.787065365
8078,4.307170813,5.015500069,5.84031654,6.236108232
8079,4.376580223,5.072938442,5.880094304,6.266157344
8080,4.527983498,5.259438515,6.109053512,6.516025634
8081,4.66874658,5.485349655,6.444783482,6.908080977
8082,5.09653457,6.052630901,7.188088362,7.740547647
8083,5.290708148,6.379986286,7.693530597,8.339542911
8084,5.020688977,6.241485596,7.759122826,8.521620303
8085,4.407054398,5.708283424,7.393713967,8.265178207
8086,3.888522425,5.231072426,7.037150808,7.995960441
8087,4.188692579,5.700781345,7.758723596,8.860105175
8088,4.065184052,5.57965374,7.65833366,8.777360868
8089,3.737102642,5.2199049,7.291051322,8.419633652
8090,3.385257678,4.79381609,6.788455972,7.88572759
8091,2.977141982,4.288940907,6.178749353,7.230770347
8092,2.568272411,3.766312361,5.523210364,6.513320314
8093,2.40214739,3.533035517,5.196325593,6.135578303
8094,2.338969175,3.472242355,5.154607039,6.110734697
8095,2.317142257,3.439760208,5.106268401,6.053369331
8096,2.132898036,3.209218025,4.828679177,5.757618932
8097,2.368061223,3.200100184,4.324483288,4.923274785
8098,3.809839563,4.570531368,5.483106741,5.930290826
8099,4.667549277,5.542452812,6.581351659,7.086784178
8100,4.673803369,5.508498669,6.492262336,6.968356328
8101,4.835014384,5.670958519,6.651432233,7.124317556
8102,4.798202156,5.632312298,6.611422526,7.083918028
8103,4.776526124,5.579977512,6.518576102,6.969989868
8104,4.748740506,5.543093205,6.470322444,6.916017449
8105,4.811901492,5.622818947,6.570394877,7.026212842
8106,4.922562581,5.806071281,6.84815341,7.352739242
8107,5.057063292,6.058033943,7.257131884,7.84412318
8108,4.858175167,6.022189617,7.465100894,8.188601415
8109,4.296383661,5.56855917,7.217430676,8.070379082
8110,3.841645805,5.085182667,6.731251152,7.595346032
8111,3.94052387,5.366226196,7.307755147,8.347264581
8112,3.696915092,5.117998123,7.085341194,8.150765854
8113,3.365160789,4.743754387,6.687111581,7.752816361
8114,3.134939777,4.4441576,6.300132756,7.321889114
8115,2.707142431,3.954872847,5.777686114,6.802249074
8116,2.412711572,3.586425304,5.331116497,6.323563607
8117,2.244044027,3.379083157,5.088225917,6.0691334
8118,2.115840654,3.226397514,4.919860529,5.900214148
8119,2.177831048,3.283181906,4.949549891,5.906670488
8120,2.165455606,3.317202091,5.081530965,6.106124118
8121,2.706063801,3.725656033,5.129410794,5.886718426
8122,4.187973928,5.044147492,6.075353943,6.582081822
8123,4.459781744,5.306034565,6.312865611,6.803366647
8124,4.758654746,5.626888275,6.653534107,7.151527141
8125,5.034847965,5.936975002,7.000742113,7.515734271
8126,5.237589874,6.166023254,7.259033962,7.787578843
8127,5.030383171,5.949881554,7.037454066,7.565106006
8128,5.024042566,5.915707111,6.965623832,7.473395452
8129,5.102074074,5.999965668,7.055873256,7.566085845
8130,5.204402648,6.18489027,7.350097646,7.917300001
8131,5.080118007,6.136712074,7.413063049,8.041551555
8132,4.617586707,5.775425434,7.223586922,7.954287423
8133,3.632430301,5.045143127,7.007283572,8.072294325
8134,3.68597046,5.143644333,7.177777823,8.285469572
8135,3.934824278,5.456041813,7.565367641,8.708945766
8136,3.891169156,5.4541502,7.644939917,8.841612851
8137,3.711666036,5.248111248,7.420568392,8.614411817
8138,3.41654396,4.882604599,6.977761139,8.137645415
8139,3.070593529,4.448065281,6.443472428,7.558521613
8140,2.781437094,4.081230164,5.988429393,7.063663282
8141,2.639332988,3.897134304,5.75435379,6.805955079
8142,2.593134326,3.830564261,5.658489191,6.693809561
8143,2.502189437,3.719648838,5.529472419,6.559010736
8144,2.40762168,3.606086016,5.40112114,6.427545924
8145,2.866407195,3.873129129,5.233425761,5.957799306
8146,4.388240462,5.30400753,6.410882932,6.956141914
8147,4.934928512,5.879831314,7.005656961,7.554686788
8148,4.850479784,5.730111122,6.769263029,7.272990933
8149,4.73475856,5.573511124,6.560846947,7.038257838
8150,4.874590349,5.732744217,6.741972947,7.229648141
8151,5.040049412,5.908088207,6.925627789,7.41619386
8152,4.995632606,5.877274513,6.914510819,7.415850636
8153,5.06721611,5.983329296,7.065068607,7.589266592
8154,5.156132412,6.171064377,7.385775326,7.980027258
8155,5.081490758,6.129393578,7.393394462,8.015162029
8156,4.696643732,5.864250183,7.322128774,8.056850307
8157,3.972785113,5.221701622,6.863237516,7.720717248
8158,3.58534048,4.910310268,6.724925308,7.700317571
8159,3.841535252,5.277386189,7.249915243,8.312454462
8160,3.961050365,5.449959278,7.498530288,8.603210581
8161,3.845795907,5.3191185,7.356870281,8.459707944
8162,3.571716556,4.980648994,6.94536199,8.01472149
8163,3.221545311,4.532604218,6.377219319,7.387433831
8164,2.883946715,4.120640755,5.887653936,6.865741703
8165,2.614702446,3.774112463,5.447627475,6.380490149
8166,2.382206665,3.481742382,5.088781839,5.992343995
8167,2.210044216,3.292303801,4.904546361,5.823022928
8168,2.15762262,3.240992546,4.868336375,5.800724267
8169,2.697156286,3.588581562,4.774627889,5.399463627
